Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C9",0805,3,4.7u,
C11,0805,1,100n,
"C2, C3, C4, C5",0805,4,10u,
"C6, C7, C8",0805,3,22u,
D1,0805,1,CNTRL_PG,
D2,0805,1,PMIC_PG,
D3,0805,1,CHRG,
J1,USB_C_Receptacle_GCT_USB4125-xx-x-0190_6P_TopMnt_Horizontal,1,USB_C_Receptacle_PowerOnly_6P,C456012
J2,AMASS_XT30PW-F,1,XT30PW-F,
J3,AMASS_XT30PW-M,1,XT30PW-M,
J4,JST_PH_S3B-PH-K_1x03_P2.00mm_Horizontal,1,BAT,C5368765
J5,JST_EH_S4B-EH_1x04_P2.50mm_Horizontal,1,Conn_01x04_Pin,C5341210
J6,Hirose_DF13-05P-1.25DS_1x05_P1.25mm_Horizontal,1,Conn_01x05_Pin,C2689908
L1,L_Coilcraft_XAL4020-XXX,1,1.5uh,C3033018
"Q1, Q2, Q4",SOT-23,3,IRLML6402TR,C347504
Q3,SOT-23,1,2N7002,C8545
"R1, R2, R5",0805,3,5.1k,
R10,0805,1,1k,
"R11, R14",0805,2,1M,
"R12, R18, R19, R4",0805,4,1.1k,
"R13, R20, R9",0805,3,10k,
"R15, R16, R17",0805,3,100k,
R3,0805,1,0,
R6,0805,1,3.3k,
R7,0805,1,470k,
R8,0805,1,33k,
RV1,Potentiometer_Bourns_TC33X_Vertical,1,200k,
U1,VREG_TPS63070RNMR,1,TPS63070RNMR,C109322
U2,VQFN-16-1EP_3x3mm_P0.5mm_EP1.6x1.6mm,1,BQ24073RGT,C15220
